"nom_amenageur","siren_amenageur","contact_amenageur","nom_operateur","contact_operateur","telephone_operateur","nom_enseigne","id_station_itinerance","id_station_local","nom_station","implantation_station","adresse_station","code_insee_commune","coordonneesXY","nbre_pdc","id_pdc_itinerance","id_pdc_local","puissance_nominale","prise_type_ef","prise_type_2","prise_type_combo_ccs","prise_type_chademo","prise_type_autre","gratuit","paiement_acte","paiement_cb","paiement_autre","tarification_eur_kWh","condition_acces","reservation","horaires","accessibilite_pmr","restriction_gabarit","station_deux_roues","raccordement","num_pdl","date_mise_en_service","observations","date_maj","cable_t2_attache","last_modified","datagouv_dataset_id","datagouv_resource_id","datagouv_organization_or_owner","created_at","consolidated_longitude","consolidated_latitude","consolidated_code_postal","consolidated_commune","consolidated_is_lon_lat_correct","consolidated_is_code_insee_verified","consolidated_is_code_insee_modified"
"ESPACE TOY MONTAUBAN","303217368","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","ESPACE TOY MONTAUBAN","FRZTLE22AC61057","61057","toyota - montauban - 22kw ac d ","Parking public","150 impasse de monaco 82000 montauban","82121","[1.3319719, 43.9905133]","1","FRZTLE22AC61057","61057","22","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","0","Accès libre","TRUE","mo-fr 08:00-12:30,mo-fr 13:30-18:30,sa 09:00-18:00","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-05-19","inconnu","2021-05-19","inconnu","2024-12-06T06:44:54.457000+00:00","6294d30e52d639e70ee7c687","fe7cd2ad-5c48-4373-b09f-0e6166c95793","zeborne","2022-05-30T16:22:06.692000+00:00","1.3319719","43.9905133","82000","Montauban","TRUE","TRUE","FALSE"
"ESPACE TOY MONTAUBAN","303217368","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","ESPACE TOY MONTAUBAN","FRZTLE22AC61056","61056","toyota - montauban - 22kw ac g ","Parking public","150 impasse de monaco 82000 montauban","82121","[1.3319719, 43.9905133]","1","FRZTLE22AC61056","61056","22","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","0","Accès libre","TRUE","mo-fr 08:00-12:30,mo-fr 13:30-18:30,sa 09:00-18:00","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-05-19","inconnu","2021-05-19","inconnu","2024-12-06T06:44:54.457000+00:00","6294d30e52d639e70ee7c687","fe7cd2ad-5c48-4373-b09f-0e6166c95793","zeborne","2022-05-30T16:22:06.692000+00:00","1.3319719","43.9905133","82000","Montauban","TRUE","TRUE","FALSE"
"ESPACE TOY MONTAUBAN","303217368","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","ESPACE TOY MONTAUBAN","FRZTLE22AC61047","61047","toyota - montauban - 22kw ac d ","Parking public","150 impasse de monaco 82000 montauban","82121","[1.3319719, 43.9905133]","1","FRZTLE22AC61047","61047","22","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","0","Accès libre","TRUE","mo-fr 08:00-12:30,mo-fr 13:30-18:30,sa 09:00-18:00","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-05-19","inconnu","2021-05-19","inconnu","2024-12-06T06:44:54.457000+00:00","6294d30e52d639e70ee7c687","fe7cd2ad-5c48-4373-b09f-0e6166c95793","zeborne","2022-05-30T16:22:06.692000+00:00","1.3319719","43.9905133","82000","Montauban","TRUE","TRUE","FALSE"
"ESPACE TOY MONTAUBAN","303217368","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","ESPACE TOY MONTAUBAN","FRZTLE22AC61046","61046","toyota - montauban - 22kw ac g ","Parking public","150 impasse de monaco 82000 montauban","82121","[1.3319719, 43.9905133]","1","FRZTLE22AC61046","61046","22","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","0","Accès libre","TRUE","mo-fr 08:00-12:30,mo-fr 13:30-18:30,sa 09:00-18:00","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-05-19","inconnu","2021-05-19","inconnu","2024-12-06T06:44:54.457000+00:00","6294d30e52d639e70ee7c687","fe7cd2ad-5c48-4373-b09f-0e6166c95793","zeborne","2022-05-30T16:22:06.692000+00:00","1.3319719","43.9905133","82000","Montauban","TRUE","TRUE","FALSE"
"TOYOTA ANNEMASSE - DEGENEVE","796680668","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","TOYOTA ANNEMASSE - DEGENEVE","FRZTLE22AC60302","60302","toyota - annemasse - 22kw ac d ","Parking public","8 rue de l'industrie 74240 gaillard","74133","[6.2174783, 46.1858677]","1","FRZTLE22AC60302","60302","22","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","0","Accès libre","TRUE","mo-fr 08:00-12:00,mo-fr 14:00-19:00,sa 09:00-18:00","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-05-04","inconnu","2021-05-04","inconnu","2024-12-06T06:45:00.804000+00:00","629de68e2d0044fffae6a1d9","1e0f2c9c-d942-4920-b931-273e5998334b","zeborne","2022-06-06T13:35:43.354000+00:00","6.2174783","46.1858677","74240","Gaillard","TRUE","TRUE","FALSE"
"TOYOTA ANNEMASSE - DEGENEVE","796680668","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","TOYOTA ANNEMASSE - DEGENEVE","FRZTLE22AC60301","60301","toyota - annemasse - 22kw ac g ","Parking public","8 rue de l'industrie 74240 gaillard","74133","[6.2174783, 46.1858677]","1","FRZTLE22AC60301","60301","22","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","0","Accès libre","TRUE","mo-fr 08:00-12:00,mo-fr 14:00-19:00,sa 09:00-18:00","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-05-04","inconnu","2021-05-04","inconnu","2024-12-06T06:45:00.804000+00:00","629de68e2d0044fffae6a1d9","1e0f2c9c-d942-4920-b931-273e5998334b","zeborne","2022-06-06T13:35:43.354000+00:00","6.2174783","46.1858677","74240","Gaillard","TRUE","TRUE","FALSE"
"TOYOTA ANTIBES- NOVELLIPSE","827876251","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","TOYOTA ANTIBES- NOVELLIPSE","FRZTLE22AC60013","60013","toyota - antibes - 22kw ac ","Parking public","2451 chemin de saint-claude, 06600 antibes","06004","[7.0880539, 43.6023265]","1","FRZTLE22AC60013","60013","22","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","0","Accès libre","TRUE","mo-sa 09:00-19:00,su 10:00-19:00","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-04-29","inconnu","2021-04-29","inconnu","2024-12-06T06:45:01.651000+00:00","6290e554de153b911b403fa9","488ade07-d780-424a-9574-32ccea91d477","zeborne","2022-05-27T16:51:00.660000+00:00","7.0880539","43.6023265","inconnu","Antibes","TRUE","TRUE","FALSE"
"TOYOTA ANTIBES- NOVELLIPSE","827876251","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","TOYOTA ANTIBES- NOVELLIPSE","FRZTLE22AC60012","60012","toyota - antibes - 22kw ac ","Parking public","2451 chemin de saint-claude, 06600 antibes","06004","[7.0880539, 43.6023265]","1","FRZTLE22AC60012","60012","22","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","0","Accès libre","TRUE","mo-sa 09:00-19:00,su 10:00-19:00","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-04-29","inconnu","2021-04-29","inconnu","2024-12-06T06:45:01.651000+00:00","6290e554de153b911b403fa9","488ade07-d780-424a-9574-32ccea91d477","zeborne","2022-05-27T16:51:00.660000+00:00","7.0880539","43.6023265","inconnu","Antibes","TRUE","TRUE","FALSE"
"TOYOTA  ANNEMASSE - DEGENEVE","796680668","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","TOYOTA  ANNEMASSE - DEGENEVE","FRZTLE22AC57831","57831","toyota - annemasse - 22kw ac d ","Parking public","8 rue de l'industrie 74240 gaillard","74133","[6.2174783, 46.1858677]","1","FRZTLE22AC57831","57831","22","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","0","Accès libre","TRUE","mo-fr 08:00-12:00,mo-fr 14:00-19:00,sa 09:00-18:00","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-04-16","inconnu","2021-04-16","inconnu","2024-12-06T06:45:00.804000+00:00","629de68e2d0044fffae6a1d9","1e0f2c9c-d942-4920-b931-273e5998334b","zeborne","2022-06-06T13:35:43.354000+00:00","6.2174783","46.1858677","74240","Gaillard","TRUE","TRUE","FALSE"
"TOYOTA ANNEMASSE - DEGENEVE","796680668","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","TOYOTA ANNEMASSE - DEGENEVE","FRZTLE22AC57830","57830","toyota - annemasse - 22kw ac g ","Parking public","8 rue de l'industrie 74240 gaillard","74133","[6.2174783, 46.1858677]","1","FRZTLE22AC57830","57830","22","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","0","Accès libre","TRUE","mo-fr 08:00-12:00,mo-fr 14:00-19:00,sa 09:00-18:00","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-04-16","inconnu","2021-04-16","inconnu","2024-12-06T06:45:00.804000+00:00","629de68e2d0044fffae6a1d9","1e0f2c9c-d942-4920-b931-273e5998334b","zeborne","2022-06-06T13:35:43.354000+00:00","6.2174783","46.1858677","74240","Gaillard","TRUE","TRUE","FALSE"
"TOYOTA MONTAGNAT - DJB BOURG","435088919","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","TOYOTA MONTAGNAT - DJB BOURG","FRZTLE22AC57335","57335","toyota - montagnat - 22kw ac","Parking public"," rn 75 zi de noirefontaine 01250 montagnat","01254","[5.2592028, 46.1746523]","1","FRZTLE22AC57335","57335","22","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","0","Accès libre","TRUE","mo-fr 08:00-12:00,mo-fr 14:00-19:00,sa 09:00-18:00","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-04-08","inconnu","2021-04-08","inconnu","2024-12-06T06:44:59.419000+00:00","629a213832e9006ad4ac9c25","a77b33d0-3946-4b2e-84d4-c1155ee7c9c5","zeborne","2022-06-03T16:56:57.299000+00:00","5.2592028","46.1746523","1250","Montagnat","TRUE","TRUE","FALSE"
"TOYOTA MONTAGNAT - DJB BOURG","435088919","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","TOYOTA MONTAGNAT - DJB BOURG","FRZTLE22AC57334","57334","toyota - montagnat - 22kw ac","Parking public","rn 75 zi de noirefontaine 01250 montagnat","01254","[5.2592028, 46.1746523]","1","FRZTLE22AC57334","57334","22","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","0","Accès libre","TRUE","mo-fr 08:00-12:00,mo-fr 14:00-19:00,sa 09:00-18:00","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-04-08","inconnu","2021-04-08","inconnu","2024-12-06T06:44:59.419000+00:00","629a213832e9006ad4ac9c25","a77b33d0-3946-4b2e-84d4-c1155ee7c9c5","zeborne","2022-06-03T16:56:57.299000+00:00","5.2592028","46.1746523","1250","Montagnat","TRUE","TRUE","FALSE"
"TOYOTA MONTAGNAT - DJB BOURG ","435088919","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","TOYOTA MONTAGNAT - DJB BOURG","FRZTLE22AC57333","57333"," toyota - montagnat - 22kw ac","Parking public"," rn 75 zi de noirefontaine 01250 montagnat","01254","[5.2592028, 46.1746523]","1","FRZTLE22AC57333","57333","22","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","0","Accès libre","TRUE","mo-fr 08:00-12:00,mo-fr 14:00-19:00,sa 09:00-18:00","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-04-08","inconnu","2021-04-08","inconnu","2024-12-06T06:44:59.419000+00:00","629a213832e9006ad4ac9c25","a77b33d0-3946-4b2e-84d4-c1155ee7c9c5","zeborne","2022-06-03T16:56:57.299000+00:00","5.2592028","46.1746523","1250","Montagnat","TRUE","TRUE","FALSE"
" TOYOTA MONTAGNAT - DJB BOURG ","435088919","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","TOYOTA MONTAGNAT - DJB BOURG","FRZTLE22AC57332","57332","toyota - montagnat - 22kw ac","Parking public","rn 75 zi de noirefontaine 01250 montagnat","01254","[5.2592028, 46.1746523]","1","FRZTLE22AC57332","57332","22","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","0","Accès libre","TRUE","mo-fr 08:00-12:00,mo-fr 14:00-19:00,sa 09:00-18:00","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-04-08","inconnu","2021-04-08","inconnu","2024-12-06T06:44:59.419000+00:00","629a213832e9006ad4ac9c25","a77b33d0-3946-4b2e-84d4-c1155ee7c9c5","zeborne","2022-06-03T16:56:57.299000+00:00","5.2592028","46.1746523","1250","Montagnat","TRUE","TRUE","FALSE"
"AUTO SPRINTER - MARSEILLE","309004331","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","AUTO SPRINTER - MARSEILLE","FRZTLE22AC56428","56428","toyota - marseille - 22kw ac ","Parking public","48 boulevard de pont de vivaux 13010 marseille","13055","[5.4191715, 43.2791824]","1","FRZTLE22AC56428","56428","22","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","0","Accès libre","TRUE","mo-fr 08:00-12:30,mo-fr 13:30-19:00,sa 09:00-19:00","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-03-19","inconnu","2021-03-19","inconnu","2024-12-06T06:45:17.010000+00:00","62c2fcf0ad1c984ba4fe562e","2620e882-ac7d-4175-a9e6-7ea32fa544ab","zeborne","2022-07-04T16:45:05.085000+00:00","5.4191715","43.2791824","inconnu","Marseille","TRUE","TRUE","FALSE"
"AUTO SPRINTER - MARSEILLE","309004331","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","AUTO SPRINTER - MARSEILLE","FRZTLE22AC56427","56427","toyota - marseille - 22kw ac ","Parking public","48 boulevard de pont de vivaux 13010 marseille","13055","[5.4191715, 43.2791824]","1","FRZTLE22AC56427","56427","22","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","0","Accès libre","TRUE","mo-fr 08:00-12:30,mo-fr 13:30-19:00,sa 09:00-19:00","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-03-19","inconnu","2021-03-19","inconnu","2024-12-06T06:45:17.010000+00:00","62c2fcf0ad1c984ba4fe562e","2620e882-ac7d-4175-a9e6-7ea32fa544ab","zeborne","2022-07-04T16:45:05.085000+00:00","5.4191715","43.2791824","inconnu","Marseille","TRUE","TRUE","FALSE"
"TOYOTA LEXUS NIMES - GARAGE VEYRUNES","380655548","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","TOYOTA LEXUS NIMES - GARAGE VEYRUNES","FRZTLE22AC55371","55371"," toyota - nimes - 22kw ac ","Parking public","rue francis cantier 30000 nîmes","30189","[4.391484, 43.841971]","1","FRZTLE22AC55371","55371","22","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","0","Accès libre","FALSE","mo-fr 09:00-19:00,sa 09:00-18:30","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-02-24","inconnu","2021-02-24","inconnu","2024-12-06T06:50:02.419000+00:00","6328409dcf95cab5ef4f0bfa","82016ea7-546e-4061-a163-f4f81af4a66b","zeborne","2022-09-19T12:12:46.422000+00:00","4.391484","43.841971","inconnu","Nîmes","TRUE","TRUE","FALSE"
"TOYOTA LEXUS NIMES - GARAGE VEYRUNES","380655548","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","TOYOTA LEXUS NIMES - GARAGE VEYRUNES","FRZTLE22AC55370","55370","toyota - nimes - 22kw ac ","Parking public","rue francis cantier 30000 nîmes","30189","[4.391484, 43.841971]","1","FRZTLE22AC55370","55370","22","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","0","Accès libre","TRUE","mo-fr 09:00-19:00,sa 09:00-18:30","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-02-24","inconnu","2021-02-24","inconnu","2024-12-06T06:50:02.419000+00:00","6328409dcf95cab5ef4f0bfa","82016ea7-546e-4061-a163-f4f81af4a66b","zeborne","2022-09-19T12:12:46.422000+00:00","4.391484","43.841971","inconnu","Nîmes","TRUE","TRUE","FALSE"
"TOYOTA LEXUS NIMES - GARAGE VEYRUNES","380655548","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","TOYOTA LEXUS NIMES - GARAGE VEYRUNES","FRZTLE22AC55367","55367","toyota - nimes - 22kw ac ","Parking public","rue francis cantier 30000 nîmes","30189","[4.391484, 43.841971]","1","FRZTLE22AC55367","55367","22","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","0","Accès libre","FALSE","mo-fr 09:00-19:00,sa 09:00-18:30","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-02-24","inconnu","2021-02-24","inconnu","2024-12-06T06:50:02.419000+00:00","6328409dcf95cab5ef4f0bfa","82016ea7-546e-4061-a163-f4f81af4a66b","zeborne","2022-09-19T12:12:46.422000+00:00","4.391484","43.841971","inconnu","Nîmes","TRUE","TRUE","FALSE"
